Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Object ID
folC	b2315	2431674	2432942	bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase	EG10327
glyA	b2551	2684254	2685507	serine hydroxymethyltransferase	EG10408
yeeR	b2001	2074779	2076311	CP4-44 prophage; inner membrane protein YeeR	G7081
aceA	b4015	4217109	4218413	isocitrate lyase	EG10022
yfeW	b2430	2548102	2549406	penicillin binding protein 4B	G7265
nagK	b1119	1178593	1179504	<i>N</i>-acetyl-D-glucosamine kinase	G6576
ydaU	b1359	1421119	1421976	Rac prophage; DUF1376 domain-containing protein YdaU	G6683
murQ	b2428	2545773	2546669	<i>N</i>-acetylmuramic acid 6-phosphate etherase	G7263
nagZ	b1107	1164095	1165120	&beta;-<i>N</i>-acetylglucosaminidase	G6567
anmK	b1640	1718493	1719602	anhydro-<i>N</i>-acetylmuramic acid kinase	G6880
ymfK	b1145	1202259	1202933	e14 prophage; putative repressor protein YmfK	G6589
glcD	b2979	3126522	3128021	glycolate dehydrogenase, putative FAD-linked subunit	G7545
glcE	b4468	3125470	3126522	glycolate dehydrogenase, putative FAD-binding subunit	G7544
fucO	b2799	2931865	2933013	L-1,2-propanediol oxidoreductase	EG10351
yafW	b0246	263690	264007	antitoxin of the YkfI-YafW toxin-antitoxin pair	G6121
nanK	b3222	3369475	3370350	<i>N</i>-acetylmannosamine kinase	G7676
nagB	b0678	702811	703611	glucosamine-6-phosphate deaminase	EG10633
nanA	b3225	3372683	3373576	<i>N</i>-acetylneuraminate lyase	EG10637
cspB	b1557	1641339	1641554	Qin prophage; cold shock-like protein CspB	EG12203
nagA	b0677	701603	702751	<i>N</i>-acetylglucosamine-6-phosphate deacetylase	EG10632
mdtF	b3514	3660414	3663527	multidrug efflux pump RND permease MdtF	EG12241
ydfA	b1571	1648508	1648663	Qin prophage; DUF1391 domain-containing protein YdfA	EG11300
tatC	b3839	4022736	4023512	twin arginine protein translocation system - TatC protein	EG11479
nanE	b3223	3370347	3371036	probable <i>N</i>-acetylmannosamine-6-phosphate 2-epimerase	G7677
tatA	b3836	4021945	4022214	twin arginine protein translocation system - TatA protein	G7806
yfjY	b2644	2776386	2776868	CP4-57 prophage; RadC-like JAB domain-containing protein YfjY	G7379
acrB	b0462	481254	484403	multidrug efflux pump RND permease AcrB	EG11704
nrdD	b4238	4460522	4462660	anaerobic ribonucleoside-triphosphate reductase	EG11417
acrD	b2470	2587595	2590708	multidrug efflux pump RND permease AcrD	EG10014
yfjH	b2623	2757644	2758600	CP4-57 prophage; uncharacterized protein YfjH	G7359
tatB	b3838	4022218	4022733	twin arginine protein translocation system - TatB protein	G7808
yfdN	b2357	2472387	2472881	CPS-53 (KpLE1) prophage; uncharacterized protein YfdN	G7226
setA	b0070	77621	78799	sugar exporter SetA	EG11754
tatE	b0627	658947	659150	twin arginine protein translocation system - TatE protein	EG11305
ccmC	b2199	2295583	2296320	cytochrome <i>c</i> maturation protein C	EG12057
mutT	b0099	111044	111433	8-oxo-dGTP diphosphatase	EG10626
kbl	    b3617	3791355	3792551	2-amino-3-ketobutyrate CoA ligase	EG10512
tfaQ	b1546	1634310	1634885	Qin prophage; putative tail fiber assembly protein TfaQ	G6820
narI	b1227	1285849	1286526	nitrate reductase A subunit &gamma;	EG10640
tdh 	b3616	3790320	3791345	threonine dehydrogenase	EG10993
mscM	b4159	4386047	4389370	miniconductance mechanosensitive channel MscM	G7840
ymfH	b1142	1201069	1201380	e14 prophage; putative protein YmfH	G6586
ybiO	b0808	843255	845480	moderate conductance mechanosensitive channel YbiO	G6417
csgG	b1037	1100851	1101684	curli secretion channel	G6543
nanC	b4311	4538785	4539501	<i>N</i>-acetylneuraminate outer membrane channel	G7921
ybcO	b0549	573084	573374	DLP12 prophage; putative nuclease YbcO	G6305
fdoI	b3892	4081225	4081860	formate dehydrogenase O subunit &gamma;	EG11856
tdcB	b3117	3265039	3266028	catabolic threonine dehydratase	EG10990
ynaI	b1330	1394891	1395922	small conductance mechanosensitive channel YnaI	G6666
ylcH	b4588	572368	572469	DLP12 prophage; uncharacterized protein YlcH	G0-10584
ybdG	b0577	603416	604663	miniconductance mechanosensitive channel YbdG	G6323
tynA	b1386	1449076	1451349	copper-containing amine oxidase	EG13139
metB	b3939	4128672	4129832	<i>O</i>-succinylhomoserine(thiol)-lyase / <i>O</i>-succinylhomoserine lyase	EG10582
tdcD	b3115	3262452	3263660	propionate kinase	EG11172
ompX	b0814	850450	850965	outer membrane protein X	EG12117
clcB	b1592	1665315	1666571	putative chloride:H<sup>+</sup> antiporter ClcB	G6850
tfaE	b1156	1208517	1209119	e14 prophage; putative tail fiber assembly protein TfaE	EG11120
pqiB	b0951	1013259	1014899	intermembrane transport protein PqiB	G6491
ccmB	b2200	2296362	2297024	cytochrome <i>c</i> maturation protein B	EG12058
paeA	b4218	4439872	4441215	putative cadaverine/putrescine exporter	G7873
nlpA	b3661	3839175	3839993	lipoprotein-28	EG10657
yfjU	b2638	2771840	2772154	CP4-57 prophage; putative arsenate reductase-like protein YfjU	G7373
sdhC	b0721	755177	755566	succinate:quinone oxidoreductase, membrane protein SdhC	EG10933
mlaC	b3192	3337256	3337891	intermembrane phospholipid transport system - periplasmic binding protein	G7659
ybhG	b0795	828974	829972	HlyD_D23 family protein YbhG	G6412
yffQ	b2448	2563592	2563969	CPZ-55 prophage; uncharacterized protein YffQ	G7278
ccmF	b2196	2292961	2294904	holocytochrome <I>c</I> synthase CcmF component	EG12054
tdcE	b3114	3260124	3262418	activated 2-oxobutanoate formate-lyase / pyruvate formate-lyase 4 // 2-oxobutanoate formate-lyase/pyruvate formate-lyase 4	G7627
proY	b0402	420986	422359	putative transporter ProY	G6233
ygaZ	b2682	2809617	2810354	L-valine exporter, YgaZ component	G7405
yfdI	b2352	2469131	2470462	CPS-53 (KpLE1) prophage; serotype-specific glucosyl transferase YfdI	G7221
hpt 	b0125	141431	141967	hypoxanthine phosphoribosyltransferase	EG20098
mlaD	b3193	3337910	3338461	intermembrane phospholipid transport system, substrate binding protein MlaD	EG12799
flxA	b1566	1646405	1646737	Qin prophage; PF14282 family protein FlxA	G6833
letA	b1833	1916258	1917541	intermembrane transport protein LetA	G7006
nfrA	b0568	587982	590954	exopolysaccharide secretion system outer membrane protein NfrA	EG11740
ynaE	b1375	1433991	1434224	Rac prophage; uncharacterized protein YnaE	G6698
pqiC	b0952	1014896	1015459	intermembrane transport lipoprotein PqiC	G6492
hybB	b2995	3142986	3144164	hydrogenase 2 membrane subunit	EG11800
guaC	b0104	113444	114487	GMP reductase	EG10422
yidC	b3705	3885076	3886722	membrane protein insertase YidC	EG11197
intR	b1345	1412000	1413235	Rac prophage; putative integrase	G6676
lptF	b4261	4486218	4487318	lipopolysaccharide transport system protein LptF	G7888
lolA	b0891	937372	937983	outer membrane lipoprotein carrier protein	G6465
ymfD	b1137	1196867	1197532	e14 prophage; putative SAM-dependent methyltransferase YmfD	G6582
aaeB	b3240	3386221	3388188	aromatic carboxylic acid efflux pump subunit AaeB	G7685
sdhD	b0722	755560	755907	succinate:quinone oxidoreductase, membrane protein SdhD	EG10934
ygaH	b2683	2810344	2810679	L-valine exporter, YgaH component	G7406
copA	b0484	508875	511379	soluble Cu<sup>+</sup> chaperone // Cu<sup>+</sup> exporting P-type ATPase	G6260
ybcM	b0546	571454	572251	DLP12 prophage; putative DNA-binding transcriptional regulator	G6302
hyaC	b0974	1035066	1035773	hydrogenase 1 cytochrome <i>b</i> subunit	EG10470
gsk	    b0477	500125	501429	inosine/guanosine kinase	EG11102
feoC	b3410	3542728	3542964	ferrous iron transport protein FeoC	EG12933
ykfC	b0258	272847	273992	CP4-6 prophage; PF00078 domain-containing protein YkfC	G6133
letB	b1834	1917510	1920143	lipophilic envelope spanning tunnel	G7007
zntB	b1342	1408050	1409033	Zn<sup>2+</sup>:H<sup>+</sup> symporter	G6674
yehB	b2109	2188430	2190910	putative fimbrial usher protein YehB	EG11988
rzoD	b4510	578327	578509	DLP12 prophage; putative prophage lysis lipoprotein RzoD	G0-10436
fdnI	b1476	1551338	1551991	formate dehydrogenase N subunit &gamma;	EG11229
rihB	b2162	2254245	2255186	pyrimidine-specific ribonucleoside hydrolase RihB	EG12030
wzxE	b3792	3976278	3977528	lipid III<sub>ECA</sub> flippase	EG11486
ralR	b1348	1413733	1413927	Rac prophage; endodeoxyribonuclease toxin RalR	EG11900
pqiA	b0950	1012001	1013254	intermembrane transport protein PqiA	G6490
dut	    b3640	3813929	3814387	dUTP diphosphatase	EG10251
fepE	b0587	618254	619387	polysaccharide co-polymerase family protein FepE	EG10297
yfjR	b2634	2769703	2770404	CP4-57 prophage; putative DNA-binding transcriptional regulator YfjR	G7369
aaeA	b3241	3388194	3389126	aromatic carboxylic acid efflux pump membrane fusion protein	G7686
udk	    b2066	2142307	2142948	uridine/cytidine kinase	EG11701
cusF	b0573	597131	597463	copper/silver export system periplasmic binding protein	G6321
yffN	b2445	2561625	2561993	CPZ-55 prophage; uncharacterized protein YffN	G7275
mlaB	b3191	3336963	3337256	intermembrane phospholipid transport system protein MlaB	G7658
pyrG	b2780	2908029	2909666	CTP synthetase	EG10810
yahN	b0328	345666	346337	putative amino acid exporter YahN	G6193
mlaA	b2346	2464252	2465007	intermembrane phospholipid transport system - outer membrane lipoprotein MlaA	G7216
intS	b2349	2466545	2467702	CPS-53 (KpLE1) prophage; prophage CPS-53 integrase	G7218
rihA	b0651	683477	684412	pyrimidine-specific ribonucleoside hydrolase RihA	G6358
lplT	b2835	2972669	2973862	lysophospholipid transporter	EG12455
dcd	    b2065	2141634	2142215	dCTP deaminase	EG11418
ydfT	b1559	1642489	1643241	Qin prophage; putative antitermination protein Q	G6830
cpdB	b4213	4434622	4436565	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase	EG10160
nrdB	b2235	2347384	2348514	ribonucleoside-diphosphate reductase 1 subunit &beta;	EG10661
purH	b4006	4205943	4207532	bifunctional AICAR transformylase/IMP cyclohydrolase	EG10795
stfR	b1372	1429049	1432411	Rac prophage; putative prophage side tail fiber protein StfR	G6695
deoB	b4383	4619603	4620826	phosphopentomutase	EG10220
pyrH	b0171	191855	192580	UMP kinase	EG11539
deoA	b4382	4618229	4619551	thymidine phosphorylase	EG10219
ymfQ	b1153	1206913	1207497	e14 prophage; DUF2313 domain-containing protein YmfQ	G6597
aphA	b4055	4269414	4270127	acid phosphatase / phosphotransferase	EG11934
tmk 	b1098	1155124	1155765	Tmk	EG12302
codA	b0337	356171	357454	cytosine/isoguanine deaminase	EG11326
tfaD	b0561	581534	582097	DLP12 prophage; putative tail fiber assembly protein TfaD	G6315
amn	    b1982	2055061	2056515	AMP nucleosidase	EG10039
guaB	b2508	2632604	2634070	inosine 5'-monophosphate dehydrogenase	EG10421
nrdA	b2234	2344865	2347150	ribonucleoside-diphosphate reductase 1 subunit &alpha;	EG10660
intF	b0281	295696	297096	CP4-6 prophage; putative phage integrase	G6152
tff	    b4414	189712	189847	putative small RNA T44	G0-8895
mtn	    b0159	178455	179153	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	EG11090
cdd	    b2143	2231844	2232728	cytidine/deoxycytidine deaminase	EG10137
perR	b0254	269289	270182	CP4-6 prophage; putative transcriptional regulator PerR	G6129
ghoT	b4559	4352908	4353081	toxin of the GhoTS toxin-antitoxin system	G0-10472
nrdE	b2675	2801348	2803492	ribonucleoside-diphosphate reductase 2 subunit &alpha;	EG20257
ycfK	b1154	1207501	1208130	e14 prophage; protein StfP	EG12877
gcvB	b4443	2942696	2942901	small regulatory RNA GcvB	G0-8867
yhdJ	b3262	3411653	3412537	DNA adenine methyltransferase	EG11498
acnA	b1276	1335831	1338506	aconitate hydratase 1	EG11325
yjhP	b4306	4532437	4533183	KpLE2 phage-like element; putative methyltransferase YjhP	G7916
rraB	b4255	4478473	4478889	ribonuclease E inhibitor protein B	G7885
yodE	b4780	2470497	2470643	CPS-53 (KpLE1) prophage; toxic protein YodE	G0-17026
pspH	b4758	4263139	4263249	small regulatory RNA PspH	G0-16700
rnlB	b2631	2766984	2767355	CP4-57 prophage; antitoxin RnlB	G7366
sulA	b0958	1020410	1020919	cell division inhibitor SulA	EG10984
ibsB	b4668	2153681	2153737	putative toxic peptide IbsB	G0-10632
rflP	b1707	1791307	1792020	anti-FlhDC factor RflP	G6925
intZ	b2442	2558858	2560066	CPZ-55 prophage; putative phage integrase IntZ	G7272
sdsN	b4719	1996921	1997057	small regulatory RNA SdsN	G0-10699
ibsE	b4666	3195141	3195200	toxic peptide IbsE	G0-10629
rplT	b1716	1799393	1799749	50S ribosomal subunit protein L20	EG10881
cbtA	b2005	2077569	2077943	CP4-44 prophage; cytoskeleton-binding toxin CbtA	G7085
rsxD	b1630	1709142	1710200	SoxR [2Fe-2S] reducing system protein RsxD	G6874
umpG	b2744	2869513	2870274	broad specificity 5'(3')-nucleotidase and polyphosphatase	EG11817
istR	b4616	3853118	3853257	small regulatory RNA IstR-1 // small RNA IstR-2	G0-10201
rrrQ	b1554	1639524	1640057	Qin prophage; putative lysozyme	G6827
rsxA	b1627	1705767	1706348	SoxR [2Fe-2S] reducing system protein RsxA	G6871
lsrK	b1511	1598617	1600209	autoinducer-2 kinase	G6798
rapZ	b3205	3347115	3347969	RNase adaptor protein RapZ	EG12146
ydaY	b1366	1425621	1425980	Rac prophage; putative uncharacterized protein YdaY	G6689
glmY	b4441	2691157	2691340	small regulatory RNA GlmY	G0-8910
ibsA	b4667	2153349	2153408	toxic peptide IbsA	G0-10633
viaA	b3745	3928152	3929603	protein ViaA	EG11730
ymfN	b1149	1204170	1205537	e14 prophage; chimeric replication protein/phage terminase YmfN	G6593
iraD	b4326	4556993	4557385	anti-adaptor protein IraD	G7923
ibsD	b4664	3194766	3194825	putative toxic peptide IbsD	G0-10630
yicC	b3644	3816676	3817539	putative RNase adaptor protein YicC	EG11192
borD	b0557	578600	578893	DLP12 prophage; prophage lipoprotein BorD	G6312
mtfA	b1976	2043651	2044448	Mlc titration factor	G7063
tomB	b0461	480334	480708	Hha toxicity modulator TomB	EG12429
cpxQ	b4716	4106330	4106387	small regulatory RNA CpxQ	G0-16649
yagL	b0278	293220	293918	CP4-6 prophage; resolvase-like catalytic domain-containing protein YagL	G6149
rpsH	b3306	3446153	3446545	30S ribosomal subunit protein S8	EG10907
ygfX	b2896	3040416	3040823	protein YgfX	G7509
rsxG	b1631	1710204	1710824	SoxR [2Fe-2S] reducing system protein RsxG	G6875
ykfB	b0250	265620	266087	CP4-6 prophage; protein YkfB	G6125
uof	    b4637	710639	710725	RyhB-regulated <i>fur</i> leader peptide	G0-10580
shoB	b4687	2700117	2700197	toxic peptide ShoB	G0-10634
csrD	b3252	3401392	3403332	regulator of CsrB and CsrC decay	EG10018
nohA	b1548	1635798	1636367	Qin prophage; putative prophage DNA-packaging protein NohA	EG11634
rsxB	b1628	1706348	1706926	SoxR [2Fe-2S] reducing system protein RsxB	G6872
ibsC	b4665	3056890	3056949	toxic peptide IbsC	G0-10631
proQ	b1831	1914836	1915534	RNA chaperone ProQ	EG12866
racC	b1351	1417488	1417763	Rac prophage; protein RacC	EG10813
iraM	b1160	1211680	1212003	anti-adaptor protein IraM	G6600
nrdF	b2676	2803502	2804461	ribonucleoside-diphosphate reductase 2 subunit &beta;	EG12381
rraA	b3929	4118845	4119330	ribonuclease E inhibitor protein A	EG11879
yjgZ	b4277	4501260	4501589	KpLE2 phage-like element; uncharacterized protein YjgZ	G7899
csrB	b4408	2924156	2924524	small regulatory RNA CsrB	G0-8785
udp	    b3831	4016431	4017192	uridine phosphorylase	EG11045
iraP	b0382	401386	401646	anti-adaptor protein IraP	EG11256
abpA	b2628	2763537	2765153	CP4-57 prophage; anti-bacteriophage protein	G7363
mzrA	b3096	3248439	3248822	modulator protein MzrA	G7610
gpt	    b0238	255977	256435	xanthine-guanine phsophoribosyltransferase	EG10414
rirA	b4760	3808166	3808238	small regulatory RNA RirA	G0-16662
yfdR	b2361	2474984	2475520	CPS-53 (KpLE1) prophage; 5'-deoxynucleotidase	G7230
suhB	b2533	2663442	2664245	Nus factor SuhB	EG10983
add	    b1623	1702233	1703234	adenosine deaminase	EG10030
rsxE	b1632	1710828	1711523	SoxR [2Fe-2S] reducing system protein RsxE	G6876
yeeS	b2002	2076308	2076754	CP4-44 prophage; RadC-like JAB domain-containing protein YeeS	G7082
rydC	b4597	1491442	1491506	small regulatory RNA RydC	G0-10592
tdk	    b1238	1293527	1294144	thymidine/deoxyuridine kinase	EG10994
rplA	b3984	4178879	4179583	50S ribosomal subunit protein L1	EG10864
ynfN	b1551	1637954	1638109	Qin prophage; protein YnfN	G6824
rsxC	b1629	1706919	1709141	SoxR [2Fe-2S] reducing system protein RsxC	G6873
gmk	    b3648	3821428	3822051	guanylate kinase	EG10965
ssrA	b2621	2755593	2755955	tmRNA	EG30100
ydaV	b1360	1421983	1422729	Rac prophage; putative ATP-binding protein YdaV	G6684
bluF	b1163	1214264	1215475	blue light- and temperature-regulated antirepressor BluF	G6603
apt	    b0469	491412	491963	adenine phosphoribosyltransferase	EG10051
chpB	b4225	4448692	4449042	endoribonuclease toxin ChpB	EG12096
dgt	    b0160	179237	180754	dGTP triphosphohydrolase	EG10225
ymfT	b1146	1203024	1203224	e14 prophage; putative DNA-binding transcriptional regulator YmfT	G6590
ndk	    b2518	2644433	2644864	nucleoside diphosphate kinase	EG10650
cmk	    b0910	961201	961884	cytidylate kinase	EG11265
pyrF	b1281	1341921	1342658	orotidine-5'-phosphate decarboxylase	EG10809
essD	b0554	577398	577613	DLP12 prophage; putative phage lysis protein	G6309
xapA	b2407	2524045	2524878	xanthosine phosphorylase	G85
purA	b4177	4404687	4405985	adenylosuccinate synthetase	EG10790
deoC	b4381	4617323	4618102	deoxyribose-phosphate aldolase	EG10221
ykfG	b0247	264256	264732	CP4-6 prophage; RadC-like JAB domain-containing protein YkfG	G6122
eutS	b2462	2575470	2575805	putative ethanolamine catabolic microcompartment shell protein EutS	G7292
upp	    b2498	2620246	2620872	uracil phosphoribosyltransferase	EG11332
cspF	b1558	1641855	1642067	Qin prophage; cold shock-like protein CspF	EG12205
yjhU	b4295	4519338	4520324	KpLE2 phage-like element; putative DNA-binding transcriptional regulator YjhU	G7909
mcbA	b0806	841796	842056	DUF1471 domain-containing protein McbA	G6415
ydjF	b1770	1854096	1854854	putative DNA-binding transcriptional regulator YdjF	G6957
ydfB	b1572	1648665	1648793	Qin prophage; uncharacterized protein YdfB	EG11301
yaiW	b0378	397872	398966	surface-exposed outer membrane lipoprotein	G6227
htrE	b0139	152829	155426	putative fimbrial usher protein HtrE	EG11972
yfhH	b2561	2698759	2699607	putative DNA-binding transcriptional regulator YfhH	EG12308
dicC	b1569	1647620	1647850	Qin prophage; putative DNA-binding transcriptional regulator DicC	EG10228
nusA	b3169	3316039	3317526	transcription termination/antitermination protein NusA	EG10665
lpxT	b2174	2268854	2269567	lipid A-core phosphotransferase	G7146
ytfA	b4205	4427694	4428095	putative transcriptional regulator YtfA	G7863
yfjZ	b2645	2777115	2777432	CP4-57 prophage; putative antitoxin of the YpjF-YfjZ toxin-antitoxin system	G7380
ynfL	b1595	1668699	1669592	putative DNA-binding transcriptional regulator YnfL	G6853
bcsC	b3530	3685700	3689173	cellulose synthase outer membrane channel	EG12257
yagP	b0282	297381	297791	putative LysR family substrate binding domain-containing protein YagP	G6153
yfjI	b2625	2758985	2760394	CP4-57 prophage; DUF3987 domain-containing protein YfjI	G7360
cspE	b0623	657292	657501	transcription antiterminator and regulator of RNA stability CspE	EG12179
eutM	b2457	2572157	2572450	putative ethanolamine catabolic microcompartment shell protein EutM	G7287
greA	b3181	3328239	3328715	transcription elongation factor GreA	EG10415
qseB	b3025	3169828	3170487	Phosphorylated DNA-binding transcriptional activator QseB // DNA-binding transcriptional activator QseB	G7575
yfdO	b2358	2472878	2473246	CPS-53 (KpLE1) prophage; protein YdfO	G7227
ecpD	b0290	305174	306817	fimbrial adhesin EcpD	G6161
ydcR	b1439	1510003	1511409	fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR	G6750
stfQ	b1547	1634885	1635847	Qin prophage; putative prophage side tail fiber protein StfQ	G6821
xtpA	b4845	345252	345434	putative transcriptional regulator XtpA	G0-17126
rihC	b0030	27293	28207	ribonucleoside hydrolase RihC	EG11082
mlrA	b2127	2214866	2215597	DNA-binding transcriptional activator MlrA	EG12008
ydaS	b1357	1420365	1420661	Rac prophage; putative DNA-binding transcriptional regulator YdaS	G6681
ygeH	b2852	2992094	2993470	putative transcriptional regulator YgeH	G7472
guaA	b2507	2630958	2632535	GMP synthetase	EG10420
abgR	b1339	1404741	1405649	putative LysR-type DNA-binding transcriptional regulator AbgR	G6671
ymfI	b1143	1201497	1201838	e14 prophage; uncharacterized protein YmfI	G6587
mgtL	b4702	4467431	4467484	leader peptide MgtL	G0-10689
adk	    b0474	497175	497819	adenylate kinase	EG10032
greB	b3406	3536812	3537288	transcription elongation factor GreB	EG11578
yagE	b0268	282278	283186	CP4-6 prophage; putative 2-dehydro-3-deoxygluconate aldolase	G6140
murR	b2427	2544752	2545609	DNA-binding transcriptional dual regulator MurR	G7262
ftp	    b2214	2310479	2311534	FAD:protein FMN transferase	EG12073
ybhD	b0768	799622	800575	putative DNA-binding transcriptional regulator YbhD	G6398
sieB	b1353	1418671	1419159	Rac prophage; phage superinfection exclusion protein	EG12154
yiaG	b3555	3719478	3719768	putative DNA-binding transcriptional regulator YiaG	EG12624
rem	    b1561	1644651	1644902	Qin prophage; protein Rem	EG11129
rapA	b0059	60358	63264	RNA polymerase-binding ATPase and RNAP recycling factor	EG11083
lgoR	b4357	4594937	4595851	putative DNA-binding transcriptional regulator LgoR	G7944
fes	    b0585	612737	613939	ferric enterobactin esterase	EG10299
cyaY	b3807	3993739	3994059	frataxin CyaY	EG11653
nimR	b1790	1874755	1875576	DNA-binding transcriptional repressor NimR	G6976
pal	    b0741	779067	779588	peptidoglycan-associated outer membrane lipoprotein Pal	EG10684
ybaQ	b0483	508218	508559	DNA-binding transcriptional regulator YbaQ	G6259
intD	b0537	564815	565978	DLP12 prophage; putative integrase	EG10507
rtcR	b3422	3558268	3559866	DNA-binding transcriptional activator RtcR	EG12356
yfjW	b2642	2773318	2775021	CP4-57 prophage; uncharacterized protein YfjW	G7377
rplD	b3319	3451681	3452286	50S ribosomal subunit protein L4	EG10867
ybcK	b0544	568902	570428	DLP12 prophage; putative recombinase YbcK	G6300
ytfH	b4212	4434113	4434493	putative transcriptional regulator YtfH	G7869
yffR	b2449	2563980	2564372	CPZ-55 prophage; uncharacterized protein YffR	G7279
nemR	b1649	1726023	1726622	DNA-binding transcriptional repressor NemR	G6889
ydfU	b1560	1643255	1644304	Qin prophage; protein YdfU	G6831
matA	b0294	310746	311336	DNA-binding transcriptional dual regulator MatA	G6165
yfdK	b2354	2471077	2471517	CPS-53 (KpLE1) prophage; putative tail fiber assembly protein YfdK	G7223
cspC	b1823	1907226	1907435	transcription antiterminator and regulator of mRNA stability CspC	EG12204
yfdG	b2350	2467855	2468217	CPS-53 (KpLE1) prophage; putative bactoprenol-linked glucose translocase	G7219
hupA	b4000	4200281	4200553	DNA-binding protein HU-&alpha;	EG10466
ydfW	b1567	1647174	1647323	Qin prophage; protein YdfW	G6834
nfeR	b3071	3216779	3217402	DNA-binding transcriptional repressor NfeR	G7594
yffO	b2446	2562111	2562527	CPZ-55 prophage; uncharacterized protein YffO	G7276
mcbR	b1450	1520262	1520927	DNA-binding transcriptional dual regulator McbR	G6761
ydfK	b1544	1633072	1633305	Qin prophage; cold shock protein YdfK	G6818
torI	b4501	2476310	2476510	CPS-53 (KpLE1) prophage; prophage CPS-53 recombination directionality factor and response regulator inhibitor	G0-9621
yqeH	b2846	2987536	2988168	putative LuxR family transcriptional regulator YqeH	G7466
punR	b1659	1738866	1739798	DNA-binding transcriptional activator PunR	EG12140
xisR	b1346	1413237	1413452	Rac prophage; excisionase	G6677
yghO	b2981	3129043	3130215	putative DNA-binding transcriptional regulator YghO	G7547
acrE	b3265	3413864	3415021	multidrug efflux pump membrane fusion lipoprotein AcrE	EG10266
racR	b1356	1419765	1420241	Rac prophage; DNA-binding transcriptional repressor RacR	G6680
ymfE	b1138	1197533	1198237	e14 prophage; uncharacterized protein YmfE	G6583
asflhD	b4839	1978176	1978395	small antisense RNA AsflhD	G0-17119
yphB	b2544	2673816	2674688	putative aldose 1-epimerase YphB	G7338
yiiE	b3889	4079291	4079509	putative DNA-binding transcriptional regulator YiiE	EG11854
rzoR	b4528	1423400	1423585	Rac prophage; putative prophage outer membrane lipoprotein RzoR	G0-10449
yphH	b2550	2682863	2684056	putative DNA-binding transcriptional regulator, NAGC-like	G7344
yfbK	b2270	2383995	2385722	IPR002035/DUF3520 domain-containing protein YfbK	G7177
mntR	b0817	853183	853650	DNA-binding transcriptional dual regulator MntR	G6420
ypjK	b2635	2770445	2770681	CP4-57 prophage; uncharacterized protein YpjK	G7370
yebK	b1853	1936652	1937521	DNA-binding transcriptional repressor YebK	EG12860
yobD	b1820	1904801	1905259	DUF986 domain-containing inner membrane protein YobD	G6998
yfeD	b2399	2518813	2519205	putative DNA-binding transcriptional regulator YfeD	EG11432
poxB	b0871	909331	911049	pyruvate oxidase	EG10754
dmlR	b1799	1880886	1881809	DNA-binding transcriptional regulator DmlR	G6985
ydiL	b1689	1770615	1770971	DUF1870 domain-containing protein YdiL	G6915
citR	b0603	636716	637618	DNA-binding transcriptional repressor CitR	G6332
nagE	b0679	703944	705890	N-acetylglucosamine-specific PTS enzyme IIABC component	EG10635
cecR	b0796	829972	830643	DNA-binding transcriptional dual regulator CecR	EG12406
yddH	b1462	1533282	1533851	flavin reductase-like protein YddH	G6769
rpsJ	b3321	3452959	3453270	30S ribosomal subunit protein S10	EG10909
mrcB	b0149	164730	167264	PBP1B&gamma; // peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcB	EG10605
bdcR	b4251	4474124	4474717	putative transcriptional regulator BdcR	G7882
ycgL	b1179	1227681	1228007	PF05166 family protein YcgL	G6616
ydiP	b1696	1778390	1779301	DNA-binding transcriptional regulator YdiP	G6919
tfaR	b1373	1432411	1432986	Rac prophage; putative tail fiber assembly protein TfaR	G6696
iprA	b0375	394506	395129	putative DNA-binding transcriptional regulator IprA	G6226
ycaR	b0917	970673	970855	PF03966 family protein YcaR	G6472
rcdB	b3521	3672414	3673313	putative DNA-binding transcriptional regulator YhjC	EG12247
tfaP	b1155	1208132	1208545	e14 prophage; putative tail fiber assembly protein TfaP	G6598
hupB	b0440	461451	461723	DNA-binding protein HU-&beta;	EG10467
ybgI	b0710	742827	743570	radiation resistance protein YbgI	G6379
higA	b3082	3233728	3234144	antitoxin/DNA-binding transcriptional repressor HigA	G7601
tfaX	b0563	582875	583060	DLP12 prophage; protein TfaX	G6317
yddM	b1477	1552398	1552682	DNA-binding transcriptional regulator YddM	G6774
yaiO	b0358	380069	380842	outer membrane protein YaiO	G6210
rof	    b0189	213678	213932	modulator of Rho-dependent transcription termination	G6097
sutR	b1434	1506172	1506708	DNA-binding transcriptional dual regulator SutR	G6745
dicD	b4135	4362733	4363308	DNA-binding transcriptional regulator DicD	EG12176
ytjE	b4824	4640718	4640771	protein YtjE	G0-17098
ygiV	b3023	3168749	3169231	DNA-binding transcriptional repressor YgiV	G7573
insN	b4587			CP4-6 prophage; IS911A regulator fragment	G6130
glmS	b3729	3911839	3913668	L-glutamine&mdash;D-fructose-6-phosphate aminotransferase	EG10382
naRNA6		4325805	4325881	naRNA6	G0-16699
ameF	b4844	2911051	2911450	small antisense RNA aMEF	G0-17125
intA	b2622	2756159	2757400	CP4-57 prophage; integrase IntA	EG11783
